Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
133,ABDN,LON:ABDN,abrdn,FTSE 250,138.85,"2,555.9",2884441090,"156,85",5076023,5796728,238,"1,8",FALSE,FALSE
,JET,LON:JET,Just Eat Takeaway.Com NV,,"1,198.00","2,555.1",3172931959,1238,119489,23557,"1513,2",78,TRUE,FALSE
134,HICL,LON:HICL,HICL Infrastructure,FTSE 250,125.00,"2,539.4",2496331932,"123,1",3818867,4122251,155,"-1,1",FALSE,FALSE
135,DLG,LON:DLG,Direct Line Insurance Group,FTSE 250,192.50,"2,524.4",2577609828,"196,56",2871940,3265898,"240,1","-1,8",FALSE,FALSE
136,TRIG,LON:TRIG,The Renewables Infrastructure Group Ltd,FTSE 250,99.80,"2,479.4",2568545502,"103,4",5672646,3327094,125,"0,96",FALSE,FALSE
,HCM,LON:HCM,Hutchmed (China) Ltd,FTSE AIM,290.00,"2,475.6",3793030392,344,33586,94937,"21,92","-0,47",FALSE,FALSE
137,MNKS,LON:MNKS,Monks Investment Trust,FTSE 250,"1,128.00","2,464.9",2519188009,"1177,25",230978,377001,1188,"7,25",FALSE,FALSE
138,JGGI,LON:JGGI,JPMorgan Global Growth & Income,FTSE 250,551.00,"2,440.8",2676689747,562,851939,1117849,567,"-1,58",FALSE,FALSE
139,STJ,LON:STJ,St James's Place,FTSE 100,444.20,"2,436.9",2728759744,"497,5",615500,2155215,"1185,5","11,4",FALSE,FALSE
140,INPP,LON:INPP,International Public Partnership Ltd,FTSE 250,125.20,"2,388.8",2403101057,"126,18",3037064,3507796,"144,97","-1,82",FALSE,FALSE
141,BGEO,LON:BGEO,Bank of Georgia Group,FTSE 250,"5,160.00","2,358.6",2155890418,4775,54875,82234,5510,"-190,64",FALSE,FALSE
142,DLN,LON:DLN,Derwent London,FTSE 250,"2,080.00","2,335.7",2481628890,2212,32691,179048,"72,3","0,18",FALSE,FALSE
143,PHLL,LON:PHLL,Petershill Partners,FTSE 250,207.00,"2,318.1",2243730840,"200,5",170101,557268,"214,5",-2,FALSE,FALSE
144,CWK,LON:CWK,Cranswick,FTSE 250,"4,260.00","2,296.3",2325318117,4305,194897,77142,"11,76","0,43",FALSE,FALSE
